source	target	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references
P01106	O14746	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;KEGG-MEDICUS;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10022128;CollecTRI:10491298;CollecTRI:10606235;CollecTRI:10637317;CollecTRI:10723141;CollecTRI:10786671;CollecTRI:10914736;CollecTRI:11274400;CollecTRI:11279234;CollecTRI:11287602;CollecTRI:11435602;CollecTRI:11606399;CollecTRI:11916966;CollecTRI:12044867;CollecTRI:12646176;CollecTRI:12695333;CollecTRI:12802280;CollecTRI:12807729;CollecTRI:12821782;CollecTRI:12941894;CollecTRI:12970752;CollecTRI:14519204;CollecTRI:14563552;CollecTRI:14611815;CollecTRI:14612409;CollecTRI:14744757;CollecTRI:15226182;CollecTRI:15371341;CollecTRI:15595642;CollecTRI:15655249;CollecTRI:15665468;CollecTRI:15958520;CollecTRI:16205635;CollecTRI:16287840;CollecTRI:16402390;CollecTRI:16489011;CollecTRI:16785237;CollecTRI:16880523;CollecTRI:17070091;CollecTRI:17141225;CollecTRI:17706770;CollecTRI:17934056;CollecTRI:17942561;CollecTRI:17967894;CollecTRI:18093727;CollecTRI:18158869;CollecTRI:18226852;CollecTRI:18365874;CollecTRI:18367227;CollecTRI:18586674;CollecTRI:18754863;CollecTRI:18818322;CollecTRI:19003324;CollecTRI:19047367;CollecTRI:19148473;CollecTRI:19360348;CollecTRI:19649288;CollecTRI:19762557;CollecTRI:19787269;CollecTRI:19806010;CollecTRI:19912441;CollecTRI:20454512;CollecTRI:20723213;CollecTRI:21132266;CollecTRI:21553143;CollecTRI:21627565;CollecTRI:21807113;CollecTRI:21855630;CollecTRI:21995449;CollecTRI:22207128;CollecTRI:23759068;CollecTRI:23860446;CollecTRI:24705139;CollecTRI:9988278;HTRIdb:11274400;HTRIdb:12695333;TRRUST:10022128;TRRUST:10637317;TRRUST:12941894;TRRUST:14611815;TRRUST:15595642;TRRUST:15958520;TRRUST:17706770;TRRUST:18093727;TRRUST:18226852;TRRUST:18754863;TRRUST:19912441;TRRUST:21132266;TRRUST:21553143;TRRUST:22207128;TRRUST:24705139
P84022	P05412	1	1	0	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10022869;CollecTRI:12374795;DoRothEA:10022869;TRRUST:10022869
Q13485	P05412	1	1	0	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10022869;CollecTRI:12374795;DoRothEA:10022869;TRRUST:10022869
P08047	P04075	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;ORegAnno;ORegAnno_DoRothEA;PAZAR;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRD_DoRothEA	CollecTRI:10023068;CollecTRI:8524331;DoRothEA:8524331;ORegAnno:8524331;PAZAR:8524331
P04637	P08069	1	0	1	1	0	1	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10023442;CollecTRI:11001824;CollecTRI:12089352;CollecTRI:12444079;CollecTRI:15131018;CollecTRI:16181796;CollecTRI:17014845;CollecTRI:17097318;CollecTRI:17600529;CollecTRI:20633551;CollecTRI:22033326;CollecTRI:24205274;CollecTRI:8710868;TRRUST:11001824;TRRUST:12444079;TRRUST:17097318;TRRUST:17600529
Q05516	P20248	1	0	1	1	0	1	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;PAZAR;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10023668;CollecTRI:11920165;CollecTRI:14527952;CollecTRI:18504436;CollecTRI:20731660;DoRothEA:20731660;PAZAR:10023668;PAZAR:18504436;TRRUST:14527952;TRRUST:20731660
Q01196	P08700	1	0	1	1	0	1	CollecTRI;CytReg_CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;PAZAR;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10023677;CollecTRI:11997340;CollecTRI:15735013;CollecTRI:20506188;CollecTRI:8180380;CollecTRI:9036972;DoRothEA:15735013;PAZAR:11997340;TRRUST:15735013
P42224	P38936	1	1	0	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10023678;CollecTRI:10866323;CollecTRI:11162600;CollecTRI:12239594;CollecTRI:16449678;CollecTRI:20738848;CollecTRI:21307941;CollecTRI:22591439;TRRUST:10023678
P40763	P38936	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;ExTRI_CollecTRI;IntAct_DoRothEA;JASPAR_DoRothEA;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10023678;CollecTRI:11114718;CollecTRI:11773079;CollecTRI:12438313;CollecTRI:15063116;CollecTRI:15286705;CollecTRI:16923815;CollecTRI:18320073;CollecTRI:19329556;CollecTRI:19372587;CollecTRI:20654581;CollecTRI:21184768;CollecTRI:22328012;CollecTRI:23178160;CollecTRI:9694869;TRRUST:10023678;TRRUST:15286705;TRRUST:16923815;TRRUST:18320073;TRRUST:20654581
Q04206	P08183	1	1	0	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;HOCOMOCO_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10026303;CollecTRI:12527911;CollecTRI:18234965;CollecTRI:19763573;CollecTRI:21054339;CollecTRI:22927901;TRRUST:18234965;TRRUST:19763573
P04637	P38936	1	1	1	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-reviews_DoRothEA;ExTRI_CollecTRI;GOA_CollecTRI;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;IntAct_DoRothEA;JASPAR_DoRothEA;KEGG-MEDICUS;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;SIGNOR;SIGNOR_CollecTRI;TFactS_CollecTRI;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10029406;CollecTRI:10037739;CollecTRI:10072388;CollecTRI:10094833;CollecTRI:10101800;CollecTRI:10321740;CollecTRI:10327058;CollecTRI:10348346;CollecTRI:10435630;CollecTRI:10498892;CollecTRI:10499591;CollecTRI:10522058;CollecTRI:10559267;CollecTRI:10566557;CollecTRI:10597242;CollecTRI:10625687;CollecTRI:10660101;CollecTRI:10749849;CollecTRI:10753197;CollecTRI:10777217;CollecTRI:10792001;CollecTRI:10799578;CollecTRI:10910098;CollecTRI:10935506;CollecTRI:11021966;CollecTRI:11032828;CollecTRI:11152513;CollecTRI:11162506;CollecTRI:11162600;CollecTRI:11175333;CollecTRI:11278953;CollecTRI:11313463;CollecTRI:11313928;CollecTRI:11375890;CollecTRI:11384995;CollecTRI:11395510;CollecTRI:11429705;CollecTRI:11444825;CollecTRI:11514734;CollecTRI:11557753;CollecTRI:11668476;CollecTRI:11739748;CollecTRI:11748232;CollecTRI:11890931;CollecTRI:11892838;CollecTRI:11895854;CollecTRI:11922774;CollecTRI:11973611;CollecTRI:12007564;CollecTRI:12045203;CollecTRI:12080472;CollecTRI:12168779;CollecTRI:12173040;CollecTRI:12203124;CollecTRI:12226108;CollecTRI:12239594;CollecTRI:12379483;CollecTRI:12384701;CollecTRI:12392301;CollecTRI:12420214;CollecTRI:12433990;CollecTRI:12560513;CollecTRI:12573582;CollecTRI:12609999;CollecTRI:12640112;CollecTRI:12665570;CollecTRI:12681065;CollecTRI:12716906;CollecTRI:12717415;CollecTRI:12748190;CollecTRI:12782287;CollecTRI:12806965;CollecTRI:12851404;CollecTRI:12869419;CollecTRI:12889596;CollecTRI:12902982;CollecTRI:12925527;CollecTRI:12934105;CollecTRI:14517211;CollecTRI:14522900;CollecTRI:14580351;CollecTRI:14612423;CollecTRI:14614448;CollecTRI:14614455;CollecTRI:14635196;CollecTRI:14722112;CollecTRI:14743206;CollecTRI:15007388;CollecTRI:15009091;CollecTRI:15024021;CollecTRI:15051477;CollecTRI:15067082;CollecTRI:15082782;CollecTRI:15136035;CollecTRI:15184659;CollecTRI:15208672;CollecTRI:15248906;CollecTRI:15259070;CollecTRI:15302882;CollecTRI:15339933;CollecTRI:15371422;CollecTRI:15489892;CollecTRI:15492238;CollecTRI:15496412;CollecTRI:15509808;CollecTRI:15539944;CollecTRI:15566940;CollecTRI:15586362;CollecTRI:15660129;CollecTRI:15710329;CollecTRI:15728246;CollecTRI:15738655;CollecTRI:15741235;CollecTRI:15790310;CollecTRI:15851483;CollecTRI:15856024;CollecTRI:15860260;CollecTRI:15872011;CollecTRI:15882981;CollecTRI:15897882;CollecTRI:15985438;CollecTRI:15988033;CollecTRI:16061648;CollecTRI:16103882;CollecTRI:16107883;CollecTRI:16131836;CollecTRI:16204065;CollecTRI:16230382;CollecTRI:16261158;CollecTRI:16288208;CollecTRI:16317118;CollecTRI:16341121;CollecTRI:16343438;CollecTRI:16410722;CollecTRI:16434701;CollecTRI:16458891;CollecTRI:16488074;CollecTRI:16537920;CollecTRI:16540664;CollecTRI:16557594;CollecTRI:16574813;CollecTRI:16581545;CollecTRI:16601686;CollecTRI:16733561;CollecTRI:16778203;CollecTRI:16778363;CollecTRI:16894028;CollecTRI:16931520;CollecTRI:16970927;CollecTRI:17101782;CollecTRI:17108107;CollecTRI:17121856;CollecTRI:17145718;CollecTRI:17146435;CollecTRI:17158927;CollecTRI:17167174;CollecTRI:17224908;CollecTRI:17280505;CollecTRI:17307334;CollecTRI:17317670;CollecTRI:17339230;CollecTRI:17344317;CollecTRI:17404570;CollecTRI:17509529;CollecTRI:17569660;CollecTRI:17592775;CollecTRI:17610896;CollecTRI:17646389;CollecTRI:17678435;CollecTRI:17685229;CollecTRI:17721438;CollecTRI:17762884;CollecTRI:17786325;CollecTRI:17878219;CollecTRI:17903248;CollecTRI:17916908;CollecTRI:17938176;CollecTRI:17942917;CollecTRI:17977830;CollecTRI:17996705;CollecTRI:17997002;CollecTRI:18059034;CollecTRI:18094076;CollecTRI:18172861;CollecTRI:18193090;CollecTRI:18208621;CollecTRI:18225552;CollecTRI:18269916;CollecTRI:18272192;CollecTRI:18419600;CollecTRI:18446786;CollecTRI:18451802;CollecTRI:18483411;CollecTRI:18505818;CollecTRI:18521083;CollecTRI:18573881;CollecTRI:18593586;CollecTRI:18615633;CollecTRI:18628250;CollecTRI:18644983;CollecTRI:18645003;CollecTRI:18645021;CollecTRI:18656471;CollecTRI:18690848;CollecTRI:18719376;CollecTRI:18755897;CollecTRI:18757425;CollecTRI:18769160;CollecTRI:18840648;CollecTRI:18951877;CollecTRI:19067706;CollecTRI:19118657;CollecTRI:19243472;CollecTRI:19244234;CollecTRI:19383287;CollecTRI:19394332;CollecTRI:19435914;CollecTRI:19472317;CollecTRI:19501055;CollecTRI:19608464;CollecTRI:19630958;CollecTRI:19713748;CollecTRI:19723072;CollecTRI:19738071;CollecTRI:19749793;CollecTRI:19789303;CollecTRI:19843844;CollecTRI:19846554;CollecTRI:19882681;CollecTRI:19954840;CollecTRI:20036872;CollecTRI:20124454;CollecTRI:20153576;CollecTRI:20187950;CollecTRI:20190809;CollecTRI:20331637;CollecTRI:20448457;CollecTRI:20473858;CollecTRI:20511722;CollecTRI:20531308;CollecTRI:20673369;CollecTRI:20696891;CollecTRI:20797428;CollecTRI:20814747;CollecTRI:20817677;CollecTRI:20843368;CollecTRI:20885946;CollecTRI:20962589;CollecTRI:21084835;CollecTRI:21093383;CollecTRI:21242964;CollecTRI:21245169;CollecTRI:21295542;CollecTRI:21317932;CollecTRI:21325288;CollecTRI:21524151;CollecTRI:21528307;CollecTRI:21541551;CollecTRI:21546904;CollecTRI:21552844;CollecTRI:21557991;CollecTRI:21606339;CollecTRI:21642427;CollecTRI:21715977;CollecTRI:21733196;CollecTRI:21791610;CollecTRI:21858218;CollecTRI:21900401;CollecTRI:21903579;CollecTRI:21957244;CollecTRI:21969549;CollecTRI:22001409;CollecTRI:22086179;CollecTRI:22172947;CollecTRI:22190353;CollecTRI:22244155;CollecTRI:22253232;CollecTRI:22266186;CollecTRI:22266868;CollecTRI:22270849;CollecTRI:22279545;CollecTRI:22290440;CollecTRI:22427654;CollecTRI:22480684;CollecTRI:22503977;CollecTRI:22514644;CollecTRI:22532570;CollecTRI:22611192;CollecTRI:22713239;CollecTRI:22732402;CollecTRI:22894933;CollecTRI:22948151;CollecTRI:22989750;CollecTRI:23017582;CollecTRI:23066038;CollecTRI:23100276;CollecTRI:23146670;CollecTRI:23149933;CollecTRI:23159636;CollecTRI:23187802;CollecTRI:23208500;CollecTRI:23329847;CollecTRI:23349794;CollecTRI:23474493;CollecTRI:23650552;CollecTRI:23665236;CollecTRI:23759594;CollecTRI:23874636;CollecTRI:24074410;CollecTRI:24096481;CollecTRI:24134839;CollecTRI:24189165;CollecTRI:24205274;CollecTRI:24289924;CollecTRI:24356969;CollecTRI:24379401;CollecTRI:24384472;CollecTRI:24559687;CollecTRI:24584189;CollecTRI:24599959;CollecTRI:24821727;CollecTRI:24821728;CollecTRI:24835508;CollecTRI:25024194;CollecTRI:7478511;CollecTRI:7566157;CollecTRI:7624134;CollecTRI:7624148;CollecTRI:7696178;CollecTRI:7753560;CollecTRI:7774811;CollecTRI:7777546;CollecTRI:7970699;CollecTRI:8242752;CollecTRI:8547219;CollecTRI:8557703;CollecTRI:8603071;CollecTRI:8616838;CollecTRI:8632901;CollecTRI:8641969;CollecTRI:8647846;CollecTRI:8691637;CollecTRI:8749722;CollecTRI:8752276;CollecTRI:8799837;CollecTRI:8816885;CollecTRI:8878553;CollecTRI:8910340;CollecTRI:9108440;CollecTRI:9154806;CollecTRI:9183012;CollecTRI:9191059;CollecTRI:9207798;CollecTRI:9216067;CollecTRI:9223430;CollecTRI:9224526;CollecTRI:9233781;CollecTRI:9268365;CollecTRI:9268733;CollecTRI:9288775;CollecTRI:9349504;CollecTRI:9360984;CollecTRI:9405685;CollecTRI:9440695;CollecTRI:9472102;CollecTRI:9519881;CollecTRI:9525742;CollecTRI:9535786;CollecTRI:9582019;CollecTRI:9588214;CollecTRI:9614553;CollecTRI:9652736;CollecTRI:9707425;CollecTRI:9714336;CollecTRI:9816061;CollecTRI:9816111;CollecTRI:9895308;CollecTRI:9916993;CollecTRI:9920903;CollecTRI:9926942;HTRIdb:12609999;HTRIdb:14612423;HTRIdb:16540664;HTRIdb:17404570;HTRIdb:17878219;HTRIdb:18419600;SIGNOR:21524151;SIGNOR:7566157;SIGNOR:8242752;TRRUST:10101800;TRRUST:10327058;TRRUST:10499591;TRRUST:10522058;TRRUST:10559267;TRRUST:10566557;TRRUST:10597242;TRRUST:10910098;TRRUST:11444825;TRRUST:11892838;TRRUST:12007564;TRRUST:12420214;TRRUST:12665570;TRRUST:12851404;TRRUST:12889596;TRRUST:12902982;TRRUST:14522900;TRRUST:15208672;TRRUST:15509808;TRRUST:15539944;TRRUST:15851483;TRRUST:15856024;TRRUST:15882981;TRRUST:15897882;TRRUST:15988033;TRRUST:16103882;TRRUST:16434701;TRRUST:16540664;TRRUST:16557594;TRRUST:16581545;TRRUST:16970927;TRRUST:17280505;TRRUST:17344317;TRRUST:17996705;TRRUST:18172861;TRRUST:18225552;TRRUST:18645021;TRRUST:18755897;TRRUST:19067706;TRRUST:19501055;TRRUST:19713748;TRRUST:19954840;TRRUST:20036872;TRRUST:20190809;TRRUST:20531308;TRRUST:20673369;TRRUST:21084835;TRRUST:21245169;TRRUST:21557991;TRRUST:21858218;TRRUST:21900401;TRRUST:22532570;TRRUST:22732402;TRRUST:7753560;TRRUST:9916993
P04637	P06400	1	0	1	1	0	1	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-reviews_DoRothEA;ExTRI_CollecTRI;FANTOM4_DoRothEA;GEREDB_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;ORegAnno;ORegAnno_DoRothEA;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10029406;CollecTRI:11121443;CollecTRI:11244564;CollecTRI:11818069;CollecTRI:11850820;CollecTRI:12444079;CollecTRI:12749855;CollecTRI:15618023;CollecTRI:15827088;CollecTRI:1608930;CollecTRI:16931621;CollecTRI:21496227;CollecTRI:22729911;CollecTRI:22894933;CollecTRI:23474762;CollecTRI:8119988;CollecTRI:8270002;CollecTRI:8355507;CollecTRI:8720930;CollecTRI:8845569;CollecTRI:9774636;HTRIdb:8119988;ORegAnno:15618023;TRRUST:8119988
Q01094	P38936	1	1	0	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10030670;CollecTRI:10702805;CollecTRI:15048076;CollecTRI:16923815;CollecTRI:17008321;CollecTRI:17167174;CollecTRI:9191053;CollecTRI:9748148;DoRothEA:10030670;TRRUST:10030670;TRRUST:16923815
O00716	P38936	1	1	0	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10030670;CollecTRI:15855772;CollecTRI:17008321;CollecTRI:17167174;CollecTRI:22894933;DoRothEA:10030670;TRRUST:10030670
P25490	P04150	1	1	0	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;FANTOM4_DoRothEA;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI;ReMap_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10030686;CollecTRI:12039077;TRRUST:10030686
P04637	P10415	1	0	1	1	0	1	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;SIGNOR_CollecTRI;TFactS_CollecTRI;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10037739;CollecTRI:10329733;CollecTRI:10744634;CollecTRI:10953306;CollecTRI:11193470;CollecTRI:11313951;CollecTRI:11713302;CollecTRI:11782367;CollecTRI:14684736;CollecTRI:15326476;CollecTRI:15767042;CollecTRI:16294215;CollecTRI:16738310;CollecTRI:17592775;CollecTRI:17693666;CollecTRI:18397889;CollecTRI:18487508;CollecTRI:18682598;CollecTRI:19137013;CollecTRI:19411072;CollecTRI:19521340;CollecTRI:19555669;CollecTRI:19714248;CollecTRI:20428827;CollecTRI:20501806;CollecTRI:20530667;CollecTRI:20840522;CollecTRI:21656028;CollecTRI:21666495;CollecTRI:21859835;CollecTRI:22266868;CollecTRI:22869582;CollecTRI:23638218;CollecTRI:24098340;CollecTRI:24155778;CollecTRI:24814047;CollecTRI:8174112;CollecTRI:8183578;CollecTRI:8205530;CollecTRI:9000137;CollecTRI:9649502;TRRUST:11313951;TRRUST:17693666;TRRUST:19411072;TRRUST:20428827;TRRUST:21859835;TRRUST:9000137
Q14765	P10914	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;ExTRI_CollecTRI;FANTOM4_DoRothEA;JASPAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10037767;CollecTRI:10068671;CollecTRI:10358173;TRRUST:10068671;TRRUST:10358173
P19544	P11926	1	1	0	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10047468;CollecTRI:8604351;DoRothEA:8604351;TRRUST:8604351
Q14653	P01562	1	1	0	1	1	0	CollecTRI;CytReg_CollecTRI;DoRothEA;ExTRI_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10048763;CollecTRI:10692430;CollecTRI:10933732;CollecTRI:10938111;CollecTRI:11162841;CollecTRI:11303025;CollecTRI:11473119;CollecTRI:12242290;CollecTRI:12821121;CollecTRI:15331713;CollecTRI:15741273;CollecTRI:16641293;CollecTRI:17785777;CollecTRI:19193793;CollecTRI:19349300;CollecTRI:20047764;CollecTRI:21795596;CollecTRI:22593165;CollecTRI:23028052;CollecTRI:24278020;CollecTRI:24535579;CollecTRI:27012395;CollecTRI:8524823;CollecTRI:9877175;CollecTRI:9891032;DoRothEA:12242290;TRRUST:12242290;TRRUST:15331713
P20823	P05019	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;ORegAnno;ORegAnno_DoRothEA;PAZAR;PAZAR_DoRothEA;SIGNOR;SIGNOR_CollecTRI	CollecTRI:10050749;CollecTRI:11544200;CollecTRI:12031966;CollecTRI:15933209;CollecTRI:17210751;CollecTRI:7836361;CollecTRI:8584026;CollecTRI:8943227;DoRothEA:15933209;ORegAnno:15933209;PAZAR:11544200;PAZAR:15933209;SIGNOR:10050749
P42229	P05019	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;KEGG-MEDICUS;ReMap_DoRothEA;RegNetwork_DoRothEA;SIGNOR;SIGNOR_CollecTRI;TFactS_CollecTRI;TRED_DoRothEA	CollecTRI:10050749;CollecTRI:14532269;CollecTRI:15677453;CollecTRI:17509524;CollecTRI:18276757;CollecTRI:19920132;CollecTRI:20372799;CollecTRI:20378540;CollecTRI:21651786;CollecTRI:23071812;DoRothEA:15677453;HTRIdb:15677453;SIGNOR:10050749
P14921	P01033	1	1	1	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRD_DoRothEA	CollecTRI:10051488;CollecTRI:8557686
P27540	Q16678	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;SIGNOR_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10051545;CollecTRI:12376470;CollecTRI:12801909;CollecTRI:16115918;CollecTRI:19255421;CollecTRI:19287966;CollecTRI:19376845;CollecTRI:21742528;CollecTRI:24299737;HTRIdb:12801909;TRRUST:12376470;TRRUST:16115918;TRRUST:19255421;TRRUST:19287966;TRRUST:19376845;TRRUST:21742528;TRRUST:24299737
P35869	Q16678	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;Pavlidis2021_CollecTRI;SIGNOR;SIGNOR_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10051545;CollecTRI:12213569;CollecTRI:12376470;CollecTRI:12801909;CollecTRI:12859982;CollecTRI:14728982;CollecTRI:16115918;CollecTRI:17012224;CollecTRI:17511620;CollecTRI:17709388;CollecTRI:17785579;CollecTRI:18059014;CollecTRI:19126602;CollecTRI:19287966;CollecTRI:19376845;CollecTRI:19789301;CollecTRI:19805408;CollecTRI:21703235;CollecTRI:21742528;CollecTRI:22138065;CollecTRI:22187486;CollecTRI:23275542;CollecTRI:24299737;CollecTRI:9478971;HTRIdb:12801909;HTRIdb:17785579;SIGNOR:17012224;TRRUST:12376470;TRRUST:16115918;TRRUST:19287966;TRRUST:19376845;TRRUST:21742528;TRRUST:24299737
P04637	P14635	1	0	1	1	0	1	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10051609;CollecTRI:11071927;CollecTRI:11162602;CollecTRI:11313928;CollecTRI:11522645;CollecTRI:11892838;CollecTRI:12379461;CollecTRI:12874009;CollecTRI:14627709;CollecTRI:15710382;CollecTRI:15737644;CollecTRI:17942917;CollecTRI:19470724;CollecTRI:20395210;DoRothEA:11892838;TRRUST:11892838
P42229	P24385	1	1	0	1	1	0	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA	CollecTRI:10064602;CollecTRI:14645506;CollecTRI:15885880;CollecTRI:16155412;CollecTRI:18024957;CollecTRI:18927468;CollecTRI:19426693;CollecTRI:20372799;CollecTRI:21719533;CollecTRI:23223023;CollecTRI:23504816;DoRothEA:14645506;TRRUST:14645506
