source	target	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references
P52630	P00751	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA	CollecTRI:16689942;DoRothEA:16689942
P52630	Q92985	1	1	0	1	1	0	CollecTRI;DoRothEA;ENCODE-proximal;FANTOM4_DoRothEA;HOCOMOCO_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;TFactS_CollecTRI;TRED_DoRothEA	CollecTRI:12768031;DoRothEA:10924517
P47902	P00813	1	1	0	1	1	0	DoRothEA;DoRothEA-A_CollecTRI;NFIRegulomeDB_DoRothEA;PAZAR;PAZAR_DoRothEA	PAZAR:15677472
P05549	P04271	1	1	0	1	1	0	DoRothEA;DoRothEA-A_CollecTRI;NFIRegulomeDB_DoRothEA;PAZAR;PAZAR_DoRothEA	PAZAR:1321139
P05549	P01210	1	1	0	1	1	0	DoRothEA;DoRothEA-A_CollecTRI;NFIRegulomeDB_DoRothEA;PAZAR;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	PAZAR:1321139
P24468	P02647	1	0	1	1	0	1	DoRothEA;DoRothEA-A_CollecTRI;HOCOMOCO_DoRothEA;PAZAR;TFe_DoRothEA	PAZAR:9580705
Q99717	Q02535	1	1	0	1	1	0	CollecTRI;DoRothEA;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA	CollecTRI:18372118;CollecTRI:21056086;DoRothEA:21056086
P18847	P48506	1	0	1	1	0	1	CollecTRI;DoRothEA;ReMap_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA	CollecTRI:15629866;DoRothEA:15629866
P08651	P14672	1	1	0	1	1	0	DoRothEA;DoRothEA-A_CollecTRI;PAZAR;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	PAZAR:9571041
P10071	Q9Y6C5	1	1	0	1	1	0	CollecTRI;DoRothEA;HOCOMOCO_DoRothEA;KEGG-MEDICUS;TFactS_CollecTRI;TFactS_DoRothEA	CollecTRI:14691458;DoRothEA:14691458
Q00978	Q92985	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;FANTOM4_DoRothEA;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;TFactS_CollecTRI	CollecTRI:12768031;DoRothEA:10924517
O75444	P00709	1	1	0	1	1	0	DoRothEA;DoRothEA-A_CollecTRI;NFIRegulomeDB_DoRothEA;PAZAR;PAZAR_DoRothEA	PAZAR:1328867
P15408	P45452	1	1	0	1	1	0	CollecTRI;DoRothEA;GEREDB_CollecTRI;HOCOMOCO_DoRothEA;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA	CollecTRI:10779518;CollecTRI:16144844;DoRothEA:16144844
P15172	P68032	1	1	0	1	1	0	DoRothEA;DoRothEA-A_CollecTRI;ORegAnno_DoRothEA;PAZAR;PAZAR_DoRothEA	PAZAR:2123467;PAZAR:9571041
Q01664	P01210	1	1	0	1	1	0	DoRothEA;DoRothEA-A_CollecTRI;NFIRegulomeDB_DoRothEA;PAZAR;PAZAR_DoRothEA	PAZAR:1828294
P10276	P78543	1	1	0	1	1	0	DoRothEA;DoRothEA-A_CollecTRI;PAZAR;PAZAR_DoRothEA;TFe_DoRothEA	PAZAR:17234770
P10276	P29373	1	1	0	1	1	0	CollecTRI;DoRothEA;GEREDB_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:15870697
P10276	Q00056	1	1	0	1	1	0	CollecTRI;DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TFactS_CollecTRI;TRED_DoRothEA	CollecTRI:9636177
P10276	P09016	1	1	0	1	1	0	CollecTRI;DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TFactS_CollecTRI;TRED_DoRothEA	CollecTRI:7908827
P14859	P05549	1	1	0	1	1	0	DoRothEA;DoRothEA-A_CollecTRI;NFIRegulomeDB_DoRothEA;PAZAR;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	PAZAR:8692702
P01100	Q02447	1	1	0	1	1	0	CollecTRI;DoRothEA;PAZAR_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA	CollecTRI:18342022;DoRothEA:18342022
Q9H334	P07333	1	0	1	1	0	1	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;PAZAR;SIGNOR;SIGNOR_CollecTRI;TFe_DoRothEA	CollecTRI:15286807;PAZAR:15286807;SIGNOR:15286807
Q9H334	P60568	1	1	0	1	1	0	DoRothEA;DoRothEA-A_CollecTRI;JASPAR_DoRothEA;PAZAR;TFe_DoRothEA	PAZAR:12692134
Q12857	P04075	1	1	0	1	1	0	DoRothEA;DoRothEA-A_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	
Q12857	P04637	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TFactS_CollecTRI;TRED_DoRothEA	CollecTRI:10505791;CollecTRI:10634504;CollecTRI:12145335;CollecTRI:8816507
P25208	P60709	1	1	0	1	1	0	DoRothEA;DoRothEA-A_CollecTRI;ORegAnno;ORegAnno_DoRothEA;PAZAR;ReMap_DoRothEA	DoRothEA:1762920;ORegAnno:1762920;PAZAR:1762920
P11831	P68032	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;GOA_CollecTRI;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;NTNU.Curated_CollecTRI;ORegAnno;ORegAnno_DoRothEA;PAZAR;PAZAR_DoRothEA;Pavlidis2021_CollecTRI	CollecTRI:11969255;CollecTRI:15933209;CollecTRI:17468179;CollecTRI:8887666;CollecTRI:9571041;DoRothEA:15933209;ORegAnno:15933209;PAZAR:15933209;PAZAR:9571041
P20226	Q6P1K2	1	1	0	1	1	0	DoRothEA;DoRothEA-A_CollecTRI;ENCODE-proximal;ORegAnno_DoRothEA;PAZAR;PAZAR_DoRothEA	PAZAR:2153298;PAZAR:2159384;PAZAR:9388207
P17947	O94788	1	1	0	1	1	0	CollecTRI;DoRothEA;GOA_CollecTRI;PAZAR_DoRothEA;ReMap_DoRothEA	CollecTRI:30413670
P17947	P20138	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;ENCODE-proximal;GEREDB_CollecTRI;HOCOMOCO_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:9734649
P14921	P10415	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;GEREDB_CollecTRI;GOA_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:10698492;CollecTRI:17590421
