=== Hyperparameter Tuning for Standard MLP ===
Goal: Maximize accuracy through systematic search

Loading data...
Dataset: 33171 train | 7108 val | 7109 test

Testing 242 configurations...

  # |  Emb |  Hid |  Out |     LR |   Temp |   BS | Epochs | Val Acc | Test Acc
----------------------------------------------------------------------------------------------------
 62 |   32 |  512 |   32 | 0.0050 | 0.1000 |  256 |      5 |  53.45% |   47.98%
 63 |   32 |  512 |   32 | 0.0050 | 0.2000 |  256 |      5 |  53.45% |   45.45%
 64 |   32 |  512 |   32 | 0.0050 | 0.5000 |  256 |      5 |  53.45% |   47.50%
 65 |   64 |   64 |   64 | 0.0001 | 0.0500 |  256 |     30 |  51.32% |   52.13%
 66 |   64 |   64 |   64 | 0.0001 | 0.1000 |  256 |     30 |  51.32% |   52.12%
 67 |   64 |   64 |   64 | 0.0001 | 0.2000 |  256 |     30 |  51.32% |   52.12%
 68 |   64 |   64 |   64 | 0.0001 | 0.5000 |  256 |     30 |  51.32% |   52.12%
 69 |   64 |   64 |   64 | 0.0005 | 0.0500 |  256 |     30 |  55.21% |   56.00%
 70 |   64 |   64 |   64 | 0.0005 | 0.1000 |  256 |     30 |  55.23% |   55.99%
 71 |   64 |   64 |   64 | 0.0005 | 0.2000 |  256 |     30 |  55.23% |   55.99%
 72 |   64 |   64 |   64 | 0.0005 | 0.5000 |  256 |     30 |  55.23% |   55.97%
 73 |   64 |   64 |   64 | 0.0010 | 0.0500 |  256 |     30 |  57.13% |   58.14%
 74 |   64 |   64 |   64 | 0.0010 | 0.1000 |  256 |     30 |  57.12% |   58.17%
 75 |   64 |   64 |   64 | 0.0010 | 0.2000 |  256 |     30 |  57.12% |   58.17%
 76 |   64 |   64 |   64 | 0.0010 | 0.5000 |  256 |     30 |  57.10% |   58.17%
 77 |   64 |   64 |   64 | 0.0050 | 0.0500 |  256 |     30 |  65.43% |   65.66%
 78 |   64 |   64 |   64 | 0.0050 | 0.1000 |  256 |     30 |  65.56% |   65.69%
 79 |   64 |   64 |   64 | 0.0050 | 0.2000 |  256 |     30 |  65.57% |   65.65%
 80 |   64 |   64 |   64 | 0.0050 | 0.5000 |  256 |     30 |  65.56% |   65.62%
 81 |   64 |  128 |   64 | 0.0001 | 0.0500 |  256 |     30 |  53.08% |   53.38%
 82 |   64 |  128 |   64 | 0.0001 | 0.1000 |  256 |     30 |  53.07% |   53.38%
 83 |   64 |  128 |   64 | 0.0001 | 0.2000 |  256 |     30 |  53.07% |   53.38%
